"Story","Title","Result","Date","Stability","Duration (s)"
"Payments","Manual payment with multiple documents","ERROR","2023-11-22T14:43:14.122+08:00[Asia/Shanghai]","0.0","248.59"
"Payments","Application of prepayment full","FAILURE","2023-11-22T14:47:23.517+08:00[Asia/Shanghai]","0.0","379.63"
"Redistribution","Voucher match with tolerance","ERROR","2023-11-22T15:29:16.463+08:00[Asia/Shanghai]","0.0","103.49"
"Review AP entries","Create voucher entry and edit","ERROR","2023-11-22T15:43:39.223+08:00[Asia/Shanghai]","0.0","156.88"
"Review AP entries","Reversal of unposted voucher match","ERROR","2023-11-22T15:51:12.348+08:00[Asia/Shanghai]","0.0","98.51"
"Unbilled PO receipts","Matching receipt","FAILURE","2023-11-22T16:20:52.433+08:00[Asia/Shanghai]","0.0","52.73"
"Unbilled PO receipts","Unbilled PO matching receipts","FAILURE","2023-11-22T16:21:45.85+08:00[Asia/Shanghai]","0.0","49.53"
"Unbilled PO receipts","Matching receipt with DA","FAILURE","2023-11-22T16:22:36.071+08:00[Asia/Shanghai]","0.0","51.41"
"Unbilled PO receipts","Matching receipt validate","FAILURE","2023-11-22T16:23:28.161+08:00[Asia/Shanghai]","0.0","51.71"
"Unbilled PO receipts","Unbilled POCUPR simple","FAILURE","2023-11-22T16:24:20.558+08:00[Asia/Shanghai]","0.0","45.78"
"Voucher entries","Release retention full","FAILURE","2023-11-22T16:25:07.429+08:00[Asia/Shanghai]","0.0","46.99"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2023-11-22T16:28:03.404+08:00[Asia/Shanghai]","0.0","48.21"
"Voucher entries","Search and post PV","ERROR","2023-11-22T16:34:47.899+08:00[Asia/Shanghai]","0.0","50.64"
"Voucher entries","Voucher match with tax","ERROR","2023-11-22T16:38:15.474+08:00[Asia/Shanghai]","0.0","50.85"
"Voucher entries","Partial voucher match","ERROR","2023-11-22T16:39:07.037+08:00[Asia/Shanghai]","0.0","53.85"
"Voucher entries","Voucher match with retention","ERROR","2023-11-22T16:40:01.572+08:00[Asia/Shanghai]","0.0","51.07"
"Voucher entries","Voucher entry import CSV file","ERROR","2023-11-22T16:40:53.349+08:00[Asia/Shanghai]","0.0","100.74"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2023-11-22T16:42:34.786+08:00[Asia/Shanghai]","0.0","50.43"
"Voucher entries","Partial voucher match with tax rate","ERROR","2023-11-22T16:43:25.911+08:00[Asia/Shanghai]","0.0","49.73"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2023-11-22T16:49:20.645+08:00[Asia/Shanghai]","0.0","51.28"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2023-11-22T16:54:22.253+08:00[Asia/Shanghai]","0.0","57.3"
"Voucher entries","Partial voucher match with retention","ERROR","2023-11-22T16:55:20.263+08:00[Asia/Shanghai]","0.0","53.36"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2023-11-22T16:56:14.32+08:00[Asia/Shanghai]","0.0","53.5"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2023-11-22T17:03:12.505+08:00[Asia/Shanghai]","0.0","49.49"
"Voucher entries","Voucher match with retention and tax","ERROR","2023-11-22T17:04:02.679+08:00[Asia/Shanghai]","0.0","55.11"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2023-11-22T17:04:58.481+08:00[Asia/Shanghai]","0.0","53.28"
"Voucher entries","Simple voucher match","ERROR","2023-11-22T17:05:52.438+08:00[Asia/Shanghai]","0.0","50.58"
"Voucher entries","Release retention partial","ERROR","2023-11-22T17:06:43.715+08:00[Asia/Shanghai]","0.0","126.57"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2023-11-22T17:08:50.981+08:00[Asia/Shanghai]","0.0","53.88"
"Voucher entries","Voucher matching","ERROR","2023-11-22T17:12:10.336+08:00[Asia/Shanghai]","0.0","49.14"
"Voucher entries","Voucher entry export CSV file","FAILURE","2023-11-22T17:13:00.183+08:00[Asia/Shanghai]","0.0","156.84"
"Voucher entries","Voucher match with rounded off tax","ERROR","2023-11-22T17:20:27.885+08:00[Asia/Shanghai]","0.0","53.13"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2023-11-22T17:23:29.365+08:00[Asia/Shanghai]","0.0","50.4"
